Fecha,Dialogo
"\""2022-07-06","Buenos días, buenas tardes. Ánimo, ánimo.

Bueno, pues vamos a informar hoy, miércoles, como lo hacemos todas las semanas, sobre quién es quién en las mentiras. Va a informarnos Ana Elizabeth García Vilchis.

Y también va a informar Jesús Ramírez, nuestro secretario, coordinador de Comunicación Social, que nos ayuda mucho, nos apoya bastante. No tiene mucho aparato, como era antes, que tenían hasta asesores, especialistas en imagen y tenían que estar mucho tiempo en las relaciones públicas, y desayunaban y comían y cenaban con comunicadores o informantes, ahora es una labor de comunicación eficaz; lo más importante, veraz y austera. Y ha cumplido con creces, en demasía, Jesús Ramírez. 

Entonces, él nos va a informar sobre la decisión que se tomó de destinar una cantidad de la partida de publicidad del gobierno para apoyar a auténticos periodistas que trabajan por su cuenta y no tienen seguridad social. Entonces, vamos a informar. Se creó un comité, ya ustedes lo saben, para recibir las solicitudes. Ya se inscribieron muchos, o algunos, faltan todavía, y ya hay los primeros resultados y se va a informar sobre eso.

También, para que se sepa. Hablando de comunicación, siempre hemos dicho que no es fácil que las cosas se sepan. A veces piensa uno que una noticia llega a todos lados; pues no. Aunque se trate de una noticia muy interesante o escandalosa y se esté repitiendo una semana, pues llega al 70 por ciento de la población; si no es tan importante, pues queda en ciertos sectores. Masificar la información no es asunto fácil. 

En nuestro país todavía la televisión sigue siendo el medio que tiene más cobertura; ya no como antes, que tenía 80 por ciento, o 70, y la radio 20 y los periódicos 10, pues ya no es así, pero sí, todavía la televisión debe de estar en las encuestas, cuando le pregunta a uno a la gente por qué medio te enteras de las noticias, la televisión debe de estar como en 45 por ciento todavía y las redes sociales como un 30, esa debe ser la proporción, 45-30; luego, la radio, que debe de tener como 15, los periódicos deben de tener cinco y el resto es a través de familias y las prácticas o las conversaciones, la comunicación que se da de boca en boca.

Bueno, pues vamos a escuchar a Ana Elizabeth, a ver cómo estuvo la semana.

ANA ELIZABETH GARCÍA VILCHIS"
"\""2022-07-06"," El tercero de aquí, usted, usted, usted. Allá empezamos.

PREGUNTA"
"\""2022-07-06"," Lo vamos a ver hoy mismo también.

INTERLOCUTOR"
"\""2022-07-06"," Sí, sí, nada más que en unos días porque tiene COVID, Adán. Ya se va a incorporar, yo creo que en estos días ya y se establece la cita, que te pongas de acuerdo con Jesús. Y sí, Adán recibe a la mamá.

INTERLOCUTOR"
"\""2022-07-06"," Sí, lo vemos.

INTERLOCUTOR"
"\""2022-07-06"," Sí, vamos viendo, todo lo que podamos ayudar en estos fraudes, y es cosa de ver a la consejera jurídica, Estela Ríos, y a Pablo Gómez.

INTERLOCUTOR"
"\""2022-07-06","Estamos trabajando en Veracruz y en otros estados en los programas de desarrollo urbano, se está avanzando.

Y vamos a pedirle a Román que venga aquí y nos informe sobre cómo va el programa de intervenciones de espacios públicos, de las obras de desarrollo urbano que se están llevando a cabo en distintos lugares del país.

Se procura que sea una intervención de acciones integrales. Por ejemplo, se está trabajando en el istmo, por el plan de comunicación de ferrocarril, de los puertos, y en las comunidades por donde pasa el tren, en los municipios, ahí se está invirtiendo y está trabajando Sedatu.

Lo mismo en el Tren Maya, lo mismo en las ciudades fronterizas, sobre todo en colonias populares. Aquí en el Valle de México, en las ciudades con más marginación, como Chimalhuacán, Ecatepec, en todas esas ciudades hay trabajo. 

En las ciudades turísticas, por los contrastes, que hay hoteles de gran lujo y donde viven los trabajadores son colonias abandonadas, sin servicios, sin espacios para la recreación, para el deporte, ahí también se está trabajando.

Entonces, vamos a pedirle a Román que venga.

INTERLOCUTOR"
"\""2022-07-06"," Sí, sí, sí. Para que nos informe, puede ser la semana próxima.

INTERVENCIÓN"
"\""2022-07-06"," A ver, a ver, bueno, hay un orden, pero es que, si no… Y luego vas tú y luego… Sí, ya se pusieron… Ya saben ¿verdad?

PREGUNTA"
"\""2022-07-06","Bueno, pues que vamos a dar respuesta a tu solicitud.

Pienso que, antes de solicitar que se atraiga el caso, vamos a que la secretaria de Seguridad Pública, Rosa Icela Rodríguez, hable con el gobierno, con quien corresponda; si es necesario, con el gobernador de Querétaro, seguramente ellos están haciendo una investigación, y si vemos que no se está actuando pues entonces sí procedemos al mecanismo de atracción del caso, le solicitamos a la fiscalía, respetuosamente, que considere atraer el caso.

Pero que podamos ver hoy lo que se está haciendo en Querétaro y enviar a un grupo de personas a hacer la investigación completa de cómo están las cosas y te damos respuesta, en este caso, mañana.

Eso por lo que corresponde a la investigación y al delito, y a los presuntos responsables, las causas, móviles, todo eso.

Y en cuanto a la salud, que es lo más importante, claro que sí, ustedes pueden ayudar con el Politécnico, y le vamos a pedir al doctor Alcocer que atienda también el planteamiento de ustedes.

INTERLOCUTOR"
