Fecha,Dialogo
2022-07-06,"buenos días, buenas tardes. ánimo, ánimo.bueno, pues vamos a informar hoy, miércoles, como lo hacemos todas las semanas, sobre quién es quién en las mentiras. va a informarnos ana elizabeth garcía vilchis.y también va a informar jesús ramírez, nuestro secretario, coordinador de comunicación social, que nos ayuda mucho, nos apoya bastante. no tiene mucho aparato, como era antes, que tenían hasta asesores, especialistas en imagen y tenían que estar mucho tiempo en las relaciones públicas, y desayunaban y comían y cenaban con comunicadores o informantes, ahora es una labor de comunicación eficaz; lo más importante, veraz y austera. y ha cumplido con creces, en demasía, jesús ramírez. entonces, él nos va a informar sobre la decisión que se tomó de destinar una cantidad de la partida de publicidad del gobierno para apoyar a auténticos periodistas que trabajan por su cuenta y no tienen seguridad social. entonces, vamos a informar. se creó un comité, ya ustedes lo saben, para recibir las solicitudes. ya se inscribieron muchos, o algunos, faltan todavía, y ya hay los primeros resultados y se va a informar sobre eso.también, para que se sepa. hablando de comunicación, siempre hemos dicho que no es fácil que las cosas se sepan. a veces piensa uno que una noticia llega a todos lados; pues no. aunque se trate de una noticia muy interesante o escandalosa y se esté repitiendo una semana, pues llega al 70 por ciento de la población; si no es tan importante, pues queda en ciertos sectores. masificar la información no es asunto fácil. en nuestro país todavía la televisión sigue siendo el medio que tiene más cobertura; ya no como antes, que tenía 80 por ciento, o 70, y la radio 20 y los periódicos 10, pues ya no es así, pero sí, todavía la televisión debe de estar en las encuestas, cuando le pregunta a uno a la gente por qué medio te enteras de las noticias, la televisión debe de estar como en 45 por ciento todavía y las redes sociales como un 30, esa debe ser la proporción, 45-30; luego, la radio, que debe de tener como 15, los periódicos deben de tener cinco y el resto es a través de familias y las prácticas o las conversaciones, la comunicación que se da de boca en boca.bueno, pues vamos a escuchar a ana elizabeth, a ver cómo estuvo la semana.  ía "
2022-07-06," el tercero de aquí, usted, usted, usted. allá empezamos."
2022-07-06, lo vamos a ver hoy mismo también.
2022-07-06," sí, sí, nada más que en unos días porque tiene , adán. ya se va a incorporar, yo creo que en estos días ya y se establece la cita, que te pongas de acuerdo con jesús. y sí, adán recibe a la mamá."
2022-07-06," sí, lo vemos."
2022-07-06," sí, vamos viendo, todo lo que podamos ayudar en estos fraudes, y es cosa de ver a la consejera jurídica, estela ríos, y a pablo gómez."
2022-07-06,"estamos trabajando en veracruz y en otros estados en los programas de desarrollo urbano, se está avanzando.y vamos a pedirle a román que venga aquí y nos informe sobre cómo va el programa de intervenciones de espacios públicos, de las obras de desarrollo urbano que se están llevando a cabo en distintos lugares del país.se procura que sea una intervención de acciones integrales. por ejemplo, se está trabajando en el istmo, por el plan de comunicación de ferrocarril, de los puertos, y en las comunidades por donde pasa el tren, en los municipios, ahí se está invirtiendo y está trabajando sedatu.lo mismo en el tren maya, lo mismo en las ciudades fronterizas, sobre todo en colonias populares. aquí en el valle de méxico, en las ciudades con más marginación, como chimalhuacán, ecatepec, en todas esas ciudades hay trabajo. en las ciudades turísticas, por los contrastes, que hay hoteles de gran lujo y donde viven los trabajadores son colonias abandonadas, sin servicios, sin espacios para la recreación, para el deporte, ahí también se está trabajando.entonces, vamos a pedirle a román que venga."
2022-07-06," sí, sí, sí. para que nos informe, puede ser la semana próxima.ón"
2022-07-06," a ver, a ver, bueno, hay un orden, pero es que, si no… y luego vas tú y luego… sí, ya se pusieron… ya saben ¿verdad?"
2022-07-06,"bueno, pues que vamos a dar respuesta a tu solicitud.pienso que, antes de solicitar que se atraiga el caso, vamos a que la secretaria de seguridad pública, rosa icela rodríguez, hable con el gobierno, con quien corresponda; si es necesario, con el gobernador de querétaro, seguramente ellos están haciendo una investigación, y si vemos que no se está actuando pues entonces sí procedemos al mecanismo de atracción del caso, le solicitamos a la fiscalía, respetuosamente, que considere atraer el caso.pero que podamos ver hoy lo que se está haciendo en querétaro y enviar a un grupo de personas a hacer la investigación completa de cómo están las cosas y te damos respuesta, en este caso, mañana.eso por lo que corresponde a la investigación y al delito, y a los presuntos responsables, las causas, móviles, todo eso.y en cuanto a la salud, que es lo más importante, claro que sí, ustedes pueden ayudar con el politécnico, y le vamos a pedir al doctor alcocer que atienda también el planteamiento de ustedes."
2022-07-06,"establecemos comunicación con el doctor alcocer para que se dé la cita y ustedes procedan. y si requieren que les apoyen, les acompañen, que la directora del , nuria fernández, les atienda para ir allá y apoyar al niño."
2022-07-06," sí. ahí te pido, jesús, sobre los tres casos"
2022-07-06,"bueno, que lo vea maría luisa albores para ver si se cuenta con los permisos de impacto ambiental, todo lo que tiene que ver con la construcción y que tengamos un informe de qué se está haciendo ahí. vamos a pedirle a maría luisa, de semarnat, que nos ayude y nos presente un informe y pueda atender a los campesinos, que se establezca comunicación.nada más que tenemos que esperar a que regrese maría luisa porque está en la  precisamente presentando una denuncia por destrucción del territorio, que se está pues haciendo del conocimiento de autoridades internacionales, de organismos internacionales, es lo de calica, en quintana roo."
2022-07-06," pues nada más informar de que en ese tiempo, que hubo un despido masivo de trabajadores transitorios, yo participé y los ayudé, y cumplí, porque logramos con un movimiento pacífico que se les liquidara a todos los trabajadores. incluso tuve problemas en ese entonces porque, como siempre, ¿no?, se me acusó de agitador y de revoltoso. pero todos recibieron un pago y hay la historia sobre eso, todos, estuve aquí en el zócalo con ellos y se llegó al acuerdo de que les tenían que pagar una indemnización. eso fue en 1994 o 95, fue en aquellos tiempos que estábamos en la oposición. era salinas, en efecto, el presidente y camacho el jefe de gobierno. y se les pagó a todos.y también aclarar, o sea, porque yo los compromisos los cumplo. me vas a dejar copia del documento para ver la fecha, porque a lo mejor eso fue antes de que se les pagara."
2022-07-06," no, sí está mal —fíjate como son las cosas— sí está mal, porque no les puedes pagar dos veces."
2022-07-06," ah, no, sí, sí, sí, dialogar.pero a todos, a todos, a todos recordarles, porque brotan. bueno, la gente tiene esperanza en que las cosas cambien, mejoren, que haya justicia, nos tienen confianza, yo entiendo todo eso, pero también se debe entender de que nosotros somos simplemente administradores del dinero del pueblo y que el presupuesto es sagrado. no es que alguien organiza a un grupo que pudo ser víctima de una injusticia hace 30 años y ‘a ver, ahora usted tiene que hacerse cargo’.lo hacemos en algunos casos. ya les platicaba yo de una expropiación o agraria de 1979 en el istmo, de tres mil hectáreas, y como ahora pasa por ahí, siempre ha pasado, pero se está rehabilitando el tren del istmo dicen"
2022-07-06," no, pero vamos a resolverlo, que venga pablo mañana, ¿te parece?"
2022-07-06, para que no pase del mes.
2022-07-06," no, todos escuchan, lo que pasa es que hay bastante trabajo y hay que estar recordando y empujando para que las cosas caminen. ‘en palacio las cosas caminan despacio’, ya tiene nota el reforma. "
