Fecha,Pregunta,Respuesta
"\""2022-07-06"," Muy buenos días, presidente y funcionarios que lo acompañan.

Ramón Flores, de El Centinela Informa y The Human Hoy.

Presidente, usted y el ministro presidente de la Suprema Corte de Justicia dieron instrucciones de revisar el caso de Claudia Ivonne Sánchez Mayorga. Le informo que con toda saña la encargada de despacho del Juzgado Sexto Penal, Lorena Marisol Aranda Millán, condenó a Claudia a 22 años de cárcel simplemente con las imputaciones verbales de las mujeres que trabajaban libremente en el restaurante, pero extrañamente no tiene declaración patrimonial en el portal del Consejo de la Judicatura y los agentes del Ministerio Público tampoco.

Presidente, este caso lo había usted pedido que lo revisara Alejandro Encinas, que lo vieran otras personas.

Pero aquí viene que precisamente yo había aquí acusado a Terea Ulloa de que estaba reclamándole dinero al Estado y hoy, en contubernio con lo que es el Poder Judicial de la Federación, la Fiscalía General de la República, condenan a Claudia Ivonne.

Aquí le traigo la prueba de lo que van a pedir a usted como gobierno por las víctimas. Por cada víctima le van a pedir a usted cuatro millones 188 mil pesos, que es lo que está pidiendo la Clínica de Interés Público contra la Trata de Personas.

Condenaron a Claudia Ivonne sin ninguna prueba y brutalmente fue golpeada, ha sido torturada, a 22 años y están haciendo negocio con ella. Aquí está la prueba, presidente. Si me permite, ahorita entregarle la prueba.

¿Usted va a permitir que extorsionen a su gobierno con cuatro millones 188 mil pesos por cada víctima nada más poniendo a una persona inocente en la cárcel?, es la pregunta.

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," Lo vamos a ver hoy mismo también.

INTERLOCUTOR"
"\""2022-07-06"," ¿Puede recibir el secretario de gobierno, perdón el secretario de Gobernación a la mamá de Claudia Ivonne para que le muestre todas las pruebas?

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," Sí, sí, nada más que en unos días porque tiene COVID, Adán. Ya se va a incorporar, yo creo que en estos días ya y se establece la cita, que te pongas de acuerdo con Jesús. Y sí, Adán recibe a la mamá.

INTERLOCUTOR"
"\""2022-07-06"," Sí, y le voy a dejar la prueba de lo que es, que esta señora Teresa Ulloa está pidiendo por cada víctima cuatro millones 188 mil pesos, y ella está pidiendo el moche del 10 por ciento. O sea, son bastantes víctimas ¿y cómo es posible que se pueda aceptar esto en su gobierno, presidente?

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," Sí, lo vemos.

INTERLOCUTOR"
"\""2022-07-06"," Por último, presidente, yo le he estado insistiendo en un tema aquí sobre el desarrollo que se tiene que llevar en Río Blanco, Veracruz, Orizaba, en Nogales, Mendoza. Le pregunté si a usted le iba a presentar un plan Román Meyer. Nosotros quisimos abordarlo allá en la refinería de Dos Bocas, no lo pudimos abordar.

¿Ya le dio alguna respuesta Román Meyer?, porque esta región ha sido muy olvidada por muchos años, presidente. ¿Ya se puede saber si se le presentó algún proyecto? ¿O qué le ha dicho Román Meyer sobre este tema, presidente?

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR","Estamos trabajando en Veracruz y en otros estados en los programas de desarrollo urbano, se está avanzando.

Y vamos a pedirle a Román que venga aquí y nos informe sobre cómo va el programa de intervenciones de espacios públicos, de las obras de desarrollo urbano que se están llevando a cabo en distintos lugares del país.

Se procura que sea una intervención de acciones integrales. Por ejemplo, se está trabajando en el istmo, por el plan de comunicación de ferrocarril, de los puertos, y en las comunidades por donde pasa el tren, en los municipios, ahí se está invirtiendo y está trabajando Sedatu.

Lo mismo en el Tren Maya, lo mismo en las ciudades fronterizas, sobre todo en colonias populares. Aquí en el Valle de México, en las ciudades con más marginación, como Chimalhuacán, Ecatepec, en todas esas ciudades hay trabajo. 

En las ciudades turísticas, por los contrastes, que hay hoteles de gran lujo y donde viven los trabajadores son colonias abandonadas, sin servicios, sin espacios para la recreación, para el deporte, ahí también se está trabajando.

Entonces, vamos a pedirle a Román que venga.

INTERLOCUTOR"
"\""2022-07-06"," ¿Puedo venir cuando venga Román?

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," Sí, sí, sí. Para que nos informe, puede ser la semana próxima.

INTERVENCIÓN"
"\""2022-07-06"," Hay un orden.

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," A ver, a ver, bueno, hay un orden, pero es que, si no… Y luego vas tú y luego… Sí, ya se pusieron… Ya saben ¿verdad?

PREGUNTA"
"\""2022-07-06"," Sí, esta investigación ya se ha llevado a cabo en algunos países de Europa, estos investigadores y científicos encabezados por el investigador Ricardo Rangel, ya está aprobado. Y seguramente, si lo recibe el doctor Alcocer, Hugo López-Gatell y la gente de Cofepris, pues tendrá muchos beneficios su gobierno, porque en cinco o en 10 años el Issste y el IMSS estarán en bancarrota por los millones de diabéticos o hipertensos u obesos en este país.

Y en ese sentido, el Politécnico en conjunto con esos investigadores podrían implementar esa técnica médica a fin de que ya no haya miles de amputaciones de manos o de extremidades o dedos, y por supuesto eso ayudaría mucho a las finanzas públicas, no solamente de su gobierno, sino de los que vengan más adelante, presidente.

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR","Establecemos comunicación con el doctor Alcocer para que se dé la cita y ustedes procedan. Y si requieren que les apoyen, les acompañen, que la directora del DIF, Nuria Fernández, les atienda para ir allá y apoyar al niño.

INTERLOCUTOR"
"\""2022-07-06"," Sí, y con esto obviamente también miles de niños que sufren quemaduras ya no tendrían la necesidad de mandarlos a Galveston, Estados Unidos, y evitaríamos muchos gastos, que aquí obviamente nos pueden ayudar mucho a estos niños.

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," Sí. Ahí te pido, Jesús, sobre los tres casos"
"\""2022-07-06"," Y en segundo tema, presidente, si me lo permite, Claudio X. González junto con su asociación Mexicanoscontra la Corrupción ofreció apoyo a más de 100 ejidatarios en Jilotzingo, Estado de México, para interponer un amparo en contra del proyecto Bosque Diamante, cuyos dueños son la familia Fontanet, también, se dice, dueños de aguas embotelladas Fonta… Bonafont, perdón.

Bueno, pues ahora de la noche a la mañana Claudio X. González les ha informado a estos ejidatarios que siempre ya no va a poder apoyar, que porque le faltan recursos. O sea, eso no le creemos. 

El tema de trasfondo, presidente, es que Claudio X. González viró a sus oscuros intereses, pues se unió a la familia Fontanet para ya no apoyar a estos campesinos que creyeron en él y en su asociación Mexicanos contra la Corrupción. 

Ahora Claudio X. González y la familia Fontanet pretenden destruir 234 hectáreas de bosque de encino, consideradas en riesgo de extinción, según la NOM-059-Semarnat-2010, y una vez hecho lo anterior pretenden construir 19 mil 985 viviendas que tendrán un costo de cinco millones de pesos cada una.

El proyecto ya se publicó en la Gaceta Oficial del Estado de México en agosto del 2017. En la trama de esta destrucción de la flora y la fauna en Jilotzingo también están involucrados el gobierno del Estado de México, encabezado por Alfredo del Mazo, Claudio X. González, la familia Fontanet y obviamente los partidos del PAN, PRI y el PRD, porque con la construcción y venta de estas casi 20 mil viviendas obtendrán una fabulosa cantidad de más de dos billones de pesos, suma que pretenden inyectar a la campaña estatal del Estado de México con el candidato de la coalición Va por México y que, de ganar la gubernatura, la oposición, que están muy lejos, tendrían en el bolsillo millones de votos para la elección presidencial del 24.

Presidente, ¿cuál es la respuesta de su gobierno a estos ejidatarios, que obviamente están peleando por sus tierras? Y que, además, Claudio X. González, muy defensor de Mexicanos Contra la Corrupción y él es el corrupto número 1 de este país?

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR","Bueno, que lo vea María Luisa Albores para ver si se cuenta con los permisos de impacto ambiental, todo lo que tiene que ver con la construcción y que tengamos un informe de qué se está haciendo ahí. Vamos a pedirle a María Luisa, de Semarnat, que nos ayude y nos presente un informe y pueda atender a los campesinos, que se establezca comunicación.

Nada más que tenemos que esperar a que regrese María Luisa porque está en la ONU precisamente presentando una denuncia por destrucción del territorio, que se está pues haciendo del conocimiento de autoridades internacionales, de organismos internacionales, es lo de Calica, en Quintana Roo.

INTERLOCUTOR"
"\""2022-07-06"," Perdón, pero ustedes preguntan diario y nadie les dice nada.

Los jubilados y extrabajadores petroleros del estado de Tabasco, su estado, en 1994 fueron despedidos por el entonces presidente Carlos Salinas de Gortari; después, el que entraba, Ernesto Zedillo, argumentando que la industria petrolera pues ya era un caso cerrado, que obviamente ya no iba a utilizarse el petróleo y que por supuesto la gallina de los huevos de oro pues estaba prácticamente muriendo. Totalmente falso, porque hoy México está a punto de ser un país independiente en cuanto a hidrocarburos. 

Y lo felicito por esa inauguración de Dos Bocas, presidente. Lo único que no se va a poder refinar en Dos Bocas por supuesto será el crudo llamado Felipe Calderón.

Presidente, en ese sentido quiero decirle que hay cinco mil personas extrabajadores de Pemex desde el 94, quienes a usted lo acompañaron desde el éxodo en 1994. Usted les prometió, después de ese despido, a ayudarlos, a apoyarlos. 

Han pasado 35 años, diversos presidentes, diversos directores de Pemex y por supuesto la negativa es que no hay.

Usted se comprometió en 1994 con una carta de compromiso, usted firmó una carta en la que les ayudaría.

Hoy estos cinco mil expetroleros le piden a través de mi voz que los atienda porque el actual director de Pemex les dice que nada más hay dos respuestas, un sí y un no, y que eso por supuesto dependerá de usted.

Ellos, presidente, tienen edades entre 65, 68, 70, 75 años. Unos ya murieron, sus viudas están en la recta casi final de la vida, sus hijos obviamente ya son adultos. Pero lo que quieren estos trabajadores es que usted los reciba y que puedan recibir una pequeña, módica liquidación para la última recta de su vida, presidente.

Yo creo que es justo. Usted prometió, usted se comprometió y la prueba aquí está. Usted firmó de poderlos ayudar en su momento. Hoy usted es el jefe del ejecutivo, está prácticamente a dos años de dejar el puesto y yo creo que estos hombres tienen la última esperanza en usted.

¿Qué les contesta?

PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR"," Pues nada más informar de que en ese tiempo, que hubo un despido masivo de trabajadores transitorios, yo participé y los ayudé, y cumplí, porque logramos con un movimiento pacífico que se les liquidara a todos los trabajadores. Incluso tuve problemas en ese entonces porque, como siempre, ¿no?, se me acusó de agitador y de revoltoso. 

Pero todos recibieron un pago y hay la historia sobre eso, todos, estuve aquí en el Zócalo con ellos y se llegó al acuerdo de que les tenían que pagar una indemnización. Eso fue en 1994 o 95, fue en aquellos tiempos que estábamos en la oposición. Era Salinas, en efecto, el presidente y Camacho el jefe de gobierno. Y se les pagó a todos.

Y también aclarar, o sea, porque yo los compromisos los cumplo. Me vas a dejar copia del documento para ver la fecha, porque a lo mejor eso fue antes de que se les pagara.

INTERLOCUTOR"
