Fecha,Pregunta,Respuesta
2022-07-06," muy buenos días, presidente y funcionarios que lo acompañan.

ramón flores, de el centinela informa y the human hoy.

presidente, usted y el ministro presidente de la suprema corte de justicia dieron instrucciones de revisar el caso de claudia ivonne sánchez mayorga. le informo que con toda saña la encargada de despacho del juzgado sexto penal, lorena marisol aranda millán, condenó a claudia a 22 años de cárcel simplemente con las imputaciones verbales de las mujeres que trabajaban libremente en el restaurante, pero extrañamente no tiene declaración patrimonial en el portal del consejo de la judicatura y los agentes del ministerio público tampoco.

presidente, este caso lo había usted pedido que lo revisara alejandro encinas, que lo vieran otras personas.

pero aquí viene que precisamente yo había aquí acusado a terea ulloa de que estaba reclamándole dinero al estado y hoy, en contubernio con lo que es el poder judicial de la federación, la fiscalía general de la república, condenan a claudia ivonne.

aquí le traigo la prueba de lo que van a pedir a usted como gobierno por las víctimas. por cada víctima le van a pedir a usted cuatro millones 188 mil pesos, que es lo que está pidiendo la clínica de interés público contra la trata de personas.

condenaron a claudia ivonne sin ninguna prueba y brutalmente fue golpeada, ha sido torturada, a 22 años y están haciendo negocio con ella. aquí está la prueba, presidente. si me permite, ahorita entregarle la prueba.

¿usted va a permitir que extorsionen a su gobierno con cuatro millones 188 mil pesos por cada víctima nada más poniendo a una persona inocente en la cárcel?, es la pregunta.

 és  ló "," lo vamos a ver hoy mismo también.

"
2022-07-06," ¿puede recibir el secretario de gobierno, perdón el secretario de gobernación a la mamá de claudia ivonne para que le muestre todas las pruebas?

 és  ló "," sí, sí, nada más que en unos días porque tiene , adán. ya se va a incorporar, yo creo que en estos días ya y se establece la cita, que te pongas de acuerdo con jesús. y sí, adán recibe a la mamá.

"
2022-07-06," sí, y le voy a dejar la prueba de lo que es, que esta señora teresa ulloa está pidiendo por cada víctima cuatro millones 188 mil pesos, y ella está pidiendo el moche del 10 por ciento. o sea, son bastantes víctimas ¿y cómo es posible que se pueda aceptar esto en su gobierno, presidente?

 és  ló "," sí, lo vemos.

"
2022-07-06," por último, presidente, yo le he estado insistiendo en un tema aquí sobre el desarrollo que se tiene que llevar en río blanco, veracruz, orizaba, en nogales, mendoza. le pregunté si a usted le iba a presentar un plan román meyer. nosotros quisimos abordarlo allá en la refinería de dos bocas, no lo pudimos abordar.

¿ya le dio alguna respuesta román meyer?, porque esta región ha sido muy olvidada por muchos años, presidente. ¿ya se puede saber si se le presentó algún proyecto? ¿o qué le ha dicho román meyer sobre este tema, presidente?

 és  ló ","estamos trabajando en veracruz y en otros estados en los programas de desarrollo urbano, se está avanzando.

y vamos a pedirle a román que venga aquí y nos informe sobre cómo va el programa de intervenciones de espacios públicos, de las obras de desarrollo urbano que se están llevando a cabo en distintos lugares del país.

se procura que sea una intervención de acciones integrales. por ejemplo, se está trabajando en el istmo, por el plan de comunicación de ferrocarril, de los puertos, y en las comunidades por donde pasa el tren, en los municipios, ahí se está invirtiendo y está trabajando sedatu.

lo mismo en el tren maya, lo mismo en las ciudades fronterizas, sobre todo en colonias populares. aquí en el valle de méxico, en las ciudades con más marginación, como chimalhuacán, ecatepec, en todas esas ciudades hay trabajo. 

en las ciudades turísticas, por los contrastes, que hay hoteles de gran lujo y donde viven los trabajadores son colonias abandonadas, sin servicios, sin espacios para la recreación, para el deporte, ahí también se está trabajando.

entonces, vamos a pedirle a román que venga.

"
2022-07-06," ¿puedo venir cuando venga román?

 és  ló "," sí, sí, sí. para que nos informe, puede ser la semana próxima.

ón"
2022-07-06," hay un orden.

 és  ló "," a ver, a ver, bueno, hay un orden, pero es que, si no… y luego vas tú y luego… sí, ya se pusieron… ya saben ¿verdad?

"
2022-07-06," sí, esta investigación ya se ha llevado a cabo en algunos países de europa, estos investigadores y científicos encabezados por el investigador ricardo rangel, ya está aprobado. y seguramente, si lo recibe el doctor alcocer, hugo lópez-gatell y la gente de cofepris, pues tendrá muchos beneficios su gobierno, porque en cinco o en 10 años el issste y el  estarán en bancarrota por los millones de diabéticos o hipertensos u obesos en este país.

y en ese sentido, el politécnico en conjunto con esos investigadores podrían implementar esa técnica médica a fin de que ya no haya miles de amputaciones de manos o de extremidades o dedos, y por supuesto eso ayudaría mucho a las finanzas públicas, no solamente de su gobierno, sino de los que vengan más adelante, presidente.

 és  ló ","establecemos comunicación con el doctor alcocer para que se dé la cita y ustedes procedan. y si requieren que les apoyen, les acompañen, que la directora del , nuria fernández, les atienda para ir allá y apoyar al niño.

"
2022-07-06," sí, y con esto obviamente también miles de niños que sufren quemaduras ya no tendrían la necesidad de mandarlos a galveston, estados unidos, y evitaríamos muchos gastos, que aquí obviamente nos pueden ayudar mucho a estos niños.

 és  ló "," sí. ahí te pido, jesús, sobre los tres casos"
2022-07-06," y en segundo tema, presidente, si me lo permite, claudio x. gonzález junto con su asociación mexicanoscontra la corrupción ofreció apoyo a más de 100 ejidatarios en jilotzingo, estado de méxico, para interponer un amparo en contra del proyecto bosque diamante, cuyos dueños son la familia fontanet, también, se dice, dueños de aguas embotelladas fonta… bonafont, perdón.

bueno, pues ahora de la noche a la mañana claudio x. gonzález les ha informado a estos ejidatarios que siempre ya no va a poder apoyar, que porque le faltan recursos. o sea, eso no le creemos. 

el tema de trasfondo, presidente, es que claudio x. gonzález viró a sus oscuros intereses, pues se unió a la familia fontanet para ya no apoyar a estos campesinos que creyeron en él y en su asociación mexicanos contra la corrupción. 

ahora claudio x. gonzález y la familia fontanet pretenden destruir 234 hectáreas de bosque de encino, consideradas en riesgo de extinción, según la -059-semarnat-2010, y una vez hecho lo anterior pretenden construir 19 mil 985 viviendas que tendrán un costo de cinco millones de pesos cada una.

el proyecto ya se publicó en la gaceta oficial del estado de méxico en agosto del 2017. en la trama de esta destrucción de la flora y la fauna en jilotzingo también están involucrados el gobierno del estado de méxico, encabezado por alfredo del mazo, claudio x. gonzález, la familia fontanet y obviamente los partidos del ,  y el , porque con la construcción y venta de estas casi 20 mil viviendas obtendrán una fabulosa cantidad de más de dos billones de pesos, suma que pretenden inyectar a la campaña estatal del estado de méxico con el candidato de la coalición va por méxico y que, de ganar la gubernatura, la oposición, que están muy lejos, tendrían en el bolsillo millones de votos para la elección presidencial del 24.

presidente, ¿cuál es la respuesta de su gobierno a estos ejidatarios, que obviamente están peleando por sus tierras? y que, además, claudio x. gonzález, muy defensor de mexicanos contra la corrupción y él es el corrupto número 1 de este país?

 és  ló ","bueno, que lo vea maría luisa albores para ver si se cuenta con los permisos de impacto ambiental, todo lo que tiene que ver con la construcción y que tengamos un informe de qué se está haciendo ahí. vamos a pedirle a maría luisa, de semarnat, que nos ayude y nos presente un informe y pueda atender a los campesinos, que se establezca comunicación.

nada más que tenemos que esperar a que regrese maría luisa porque está en la  precisamente presentando una denuncia por destrucción del territorio, que se está pues haciendo del conocimiento de autoridades internacionales, de organismos internacionales, es lo de calica, en quintana roo.

"
2022-07-06," perdón, pero ustedes preguntan diario y nadie les dice nada.

los jubilados y extrabajadores petroleros del estado de tabasco, su estado, en 1994 fueron despedidos por el entonces presidente carlos salinas de gortari; después, el que entraba, ernesto zedillo, argumentando que la industria petrolera pues ya era un caso cerrado, que obviamente ya no iba a utilizarse el petróleo y que por supuesto la gallina de los huevos de oro pues estaba prácticamente muriendo. totalmente falso, porque hoy méxico está a punto de ser un país independiente en cuanto a hidrocarburos. 

y lo felicito por esa inauguración de dos bocas, presidente. lo único que no se va a poder refinar en dos bocas por supuesto será el crudo llamado felipe calderón.

presidente, en ese sentido quiero decirle que hay cinco mil personas extrabajadores de pemex desde el 94, quienes a usted lo acompañaron desde el éxodo en 1994. usted les prometió, después de ese despido, a ayudarlos, a apoyarlos. 

han pasado 35 años, diversos presidentes, diversos directores de pemex y por supuesto la negativa es que no hay.

usted se comprometió en 1994 con una carta de compromiso, usted firmó una carta en la que les ayudaría.

hoy estos cinco mil expetroleros le piden a través de mi voz que los atienda porque el actual director de pemex les dice que nada más hay dos respuestas, un sí y un no, y que eso por supuesto dependerá de usted.

ellos, presidente, tienen edades entre 65, 68, 70, 75 años. unos ya murieron, sus viudas están en la recta casi final de la vida, sus hijos obviamente ya son adultos. pero lo que quieren estos trabajadores es que usted los reciba y que puedan recibir una pequeña, módica liquidación para la última recta de su vida, presidente.

yo creo que es justo. usted prometió, usted se comprometió y la prueba aquí está. usted firmó de poderlos ayudar en su momento. hoy usted es el jefe del ejecutivo, está prácticamente a dos años de dejar el puesto y yo creo que estos hombres tienen la última esperanza en usted.

¿qué les contesta?

 és  ló "," pues nada más informar de que en ese tiempo, que hubo un despido masivo de trabajadores transitorios, yo participé y los ayudé, y cumplí, porque logramos con un movimiento pacífico que se les liquidara a todos los trabajadores. incluso tuve problemas en ese entonces porque, como siempre, ¿no?, se me acusó de agitador y de revoltoso. 

pero todos recibieron un pago y hay la historia sobre eso, todos, estuve aquí en el zócalo con ellos y se llegó al acuerdo de que les tenían que pagar una indemnización. eso fue en 1994 o 95, fue en aquellos tiempos que estábamos en la oposición. era salinas, en efecto, el presidente y camacho el jefe de gobierno. y se les pagó a todos.

y también aclarar, o sea, porque yo los compromisos los cumplo. me vas a dejar copia del documento para ver la fecha, porque a lo mejor eso fue antes de que se les pagara.

"
2022-07-06," pero no estaría mal que…

 és  ló "," no, sí está mal —fíjate como son las cosas— sí está mal, porque no les puedes pagar dos veces.

"
2022-07-06," no me refiero a que les paguen dos veces, pero quizá que los reciba.

 és  ló "," ah, no, sí, sí, sí, dialogar.

pero a todos, a todos, a todos recordarles, porque brotan. bueno, la gente tiene esperanza en que las cosas cambien, mejoren, que haya justicia, nos tienen confianza, yo entiendo todo eso, pero también se debe entender de que nosotros somos simplemente administradores del dinero del pueblo y que el presupuesto es sagrado. no es que alguien organiza a un grupo que pudo ser víctima de una injusticia hace 30 años y ‘a ver, ahora usted tiene que hacerse cargo’.

lo hacemos en algunos casos. ya les platicaba yo de una expropiación o agraria de 1979 en el istmo, de tres mil hectáreas, y como ahora pasa por ahí, siempre ha pasado, pero se está rehabilitando el tren del istmo dicen"
2022-07-06," le agradezco, presidente.

 és  ló "," para que no pase del mes.

"
2022-07-06," yo sé que usted tiene un compromiso con la transparencia, pero nada más preguntar, porque pareciera que o algunos no escucharon el mensaje o no quieren entender el mensaje.

 és  ló "," no, todos escuchan, lo que pasa es que hay bastante trabajo y hay que estar recordando y empujando para que las cosas caminen. 

‘en palacio las cosas caminan despacio’, ya tiene nota el reforma. 

"
2022-07-06," por hipocresía, presidente.

 és  ló "," y porque se mantiene desde hace mucho tiempo una política injusta de pagarle menos al trabajador indocumentado y de poderlo correr cuando les da la gana. ¿cómo va a crecer una nación sin fuerza de trabajo?

entonces mi planteamiento es"
2022-07-06," pero, presidente, eso tendrá que pasar por el congreso, que es donde está el tapón.

 és  ló "," ah, sí, pero hay que enfrentar todas esas resistencias. si no —es como aquí y como en cualquier país—, si no hay una política atrevida en beneficio de los pueblos, ni se resuelve nada ni se tiene nunca el apoyo de la gente. son momentos de tomar decisiones, es una crisis mundial y hacen falta tomar decisiones.

y qué voy a estar pensando en bob menéndez… ¿o cómo es?

"
2022-07-06," bob menéndez, sí.

 és  ló ","menéndez. ¿qué va a decir bob menéndez, si se trata de asuntos de estado, de nación?

que el new york times, que el reforma. no, hay que transformar. si se va a seguir con la misma política de siempre, pues va a continuar la decadencia, es un proceso de degradación progresivo.

y hay ejemplos en el mundo y en estados unidos de decisiones firmes, lo que hizo el presidente franklin delano roosevelt, que le tocó enfrentar la crisis económica y cambió la política, y sacó a su pueblo de la crisis y recuperó la confianza de muchos en que había futuro en esa gran nación. pero fortaleció al sector público, impulsó la actividad productiva, estableció una medida que los conservadores dirían ahora ‘es populismo’"
2022-07-06," o leo zuckermann.

 és  ló "," o leo zuckermann.

"
